1 day, 0:29:02.396217;88142.39621681301; seed14 - 1
17:44:59.957733;63899.95773257798; seed14 - 2
11:45:47.502737;42347.50273700501; seed14 -3
19:08:18.297207;68898.29720735498; seed15 - 1
9:37:38.149831;34658.14983138; seed15 - 2
10:48:42.275258;38922.27525758499; seed15 - 3
1 day, 4:08:26.154196;101306.154195941; seed16 - 1
13:41:52.661340;49312.661339503946; seed16 -2
9:01:23.257806;32483.257805700996; seed - 3
21:47:10.845291;78430.84529104107; seed17 - 1
10:23:17.115451;37397.11545108701; seed17 - 2
8:43:49.846250;31429.846249931958; seed17 - 3
10:39:53.935124;38393.93512419693; seed19 - 1
13:46:18.311403;49578.31140267209; seed19 - 2
15:17:32.470963;55052.470962769934; seed19  3
16:45:11.986539;60311.98653856898; seed20 - 1
15:17:39.898410;55059.89841031702; seed20 - 2
12:17:48.249140;44268.24913980998; seed20 - 3
16:42:10.369812;60130.369811741984; seed22 - 1
12:13:15.059425;43995.05942525086; seed22 - 2
10:26:59.339263;37619.33926314907; seed22 - 3
22:54:18.413870;82458.4138702451; seed23 - 1
16:43:30.078000;60210.07799963001; seed23 - 2
10:44:57.360690;38697.360690409085; seed23 - 3
15:56:07.230852;57367.2308515301; seed24 - 1
13:54:37.556571;50077.55657096091; seed24 - 2
8:03:38.427894;29018.427894392982; seed24 - 3
12:25:05.164861;44705.16486101691; seed25 - 1
12:50:25.451937;46225.45193703403; seed25 - 2
8:24:45.427293;30285.427293291083; seed25 - 3
10:04:58.845102;36298.845101751154; seed26 - 1
15:08:06.682619;54486.68261910998; seed26 - 2
9:47:04.384442;35224.38444247306; seed26 - 3
2 days, 7:52:34.929264;201154.92926400993; seed27 - 1
18:15:20.920593;65720.92059299815; seed27 - 2
1 day, 0:04:05.612470;86645.61247031111; seed27 - 3
13:44:08.758385;49448.75838502403; seed29 - 1
18:36:43.522981;67003.52298078011; seed29 - 2
16:04:18.197242;57858.197241599904; seed29 - 3